,Code,Name,TradeVolume,TradeValue,OpeningPrice,HighestPrice,LowestPrice,ClosingPrice,Change,Transaction
0,0050,元大台灣50,6129174.0,994740991.0,162.6,162.8,161.95,162.1,-0.4,7404.0
1232,0050,元大台灣50,18674686.0,2914071977.0,158.3,158.3,154.75,155.65,-4.35,39767.0
1,0051,元大中型100,38150.0,3038828.0,79.8,79.8,79.4,79.8,0.35,202.0
1233,0051,元大中型100,210610.0,16192837.0,78.3,78.3,76.2,76.5,-2.0,593.0
2,0052,富邦科技,463825.0,76700904.0,165.35,166.1,164.85,165.1,-0.1,725.0
1234,0052,富邦科技,1410412.0,223152928.0,160.6,160.7,157.2,158.55,-3.95,2133.0
3,0053,元大電子,20433.0,1800139.0,88.0,88.75,87.9,88.1,0.1,104.0
1235,0053,元大電子,27394.0,2314180.0,85.9,85.9,83.9,83.9,-2.9,127.0
4,0055,元大MSCI金融,331468.0,8346338.0,25.27,25.27,25.13,25.15,-0.13,270.0
1236,0055,元大MSCI金融,669471.0,16537457.0,25.03,25.11,24.49,24.57,-0.58,614.0
5,0056,元大高股息,20498867.0,820027934.0,40.06,40.09,39.88,39.98,-0.11,13143.0
1237,0056,元大高股息,120260174.0,4646080588.0,39.15,39.15,38.27,38.49,-1.13,90474.0
6,0057,富邦摩台,10299.0,1235217.0,119.85,120.05,119.85,120.05,0.5,78.0
1238,0057,富邦摩台,100373.0,11599817.0,116.95,116.95,114.65,114.65,-3.05,105.0
7,0061,元大寶滬深,139256.0,2341485.0,16.91,16.91,16.78,16.87,0.01,124.0
1239,0061,元大寶滬深,332523.0,5663487.0,17.07,17.14,16.91,17.09,0.02,180.0
8,006203,元大MSCI台灣,6976.0,538599.0,77.05,77.4,77.05,77.15,0.1,75.0
1240,006203,元大MSCI台灣,13162.0,973799.0,73.95,74.1,73.85,73.85,-2.25,83.0
9,006204,永豐臺灣加權,5292.0,545554.0,103.0,103.45,103.0,103.15,0.2,88.0
1241,006204,永豐臺灣加權,31660.0,3141972.0,100.0,100.0,98.8,98.85,-3.0,120.0
10,006205,富邦上証,1460556.0,42593054.0,29.35,29.35,29.1,29.16,-0.19,206.0
1242,006205,富邦上証,916408.0,27075612.0,29.55,29.71,29.34,29.64,0.12,440.0
11,006206,元大上證50,156600.0,4357153.0,27.81,27.95,27.78,27.85,-0.07,98.0
1243,006206,元大上證50,429490.0,12149111.0,28.25,28.57,28.15,28.37,0.08,259.0
12,006207,復華滬深,21894.0,483259.0,22.0,22.14,22.0,22.09,-0.09,59.0
1244,006207,復華滬深,156306.0,3504742.0,22.47,22.47,22.24,22.47,0.0,80.0
13,006208,富邦台50,3164157.0,300234588.0,94.95,95.2,94.65,94.8,-0.15,5379.0
1245,006208,富邦台50,15157067.0,1386112501.0,92.65,92.75,90.75,91.3,-2.5,28571.0
14,00625K,富邦上証+R,,,,,,,0.0,
1246,00625K,富邦上証+R,,,,,,,0.0,
15,00631L,元大台灣50正2,1828836.0,372344232.0,203.3,204.95,202.75,204.05,0.25,1670.0
1247,00631L,元大台灣50正2,10872393.0,2061823010.0,194.75,194.75,185.2,187.5,-11.65,12760.0
16,00632R,元大台灣50反1,74560932.0,285039494.0,3.82,3.84,3.81,3.82,-0.01,2511.0
1248,00632R,元大台灣50反1,443639834.0,1758416886.0,3.91,4.01,3.91,3.99,0.12,18664.0
17,00633L,富邦上証正2,3823224.0,124308672.0,32.59,32.86,32.33,32.4,-0.35,1008.0
1249,00633L,富邦上証正2,9169913.0,307279210.0,33.61,33.88,33.1,33.8,0.12,1682.0
18,00634R,富邦上証反1,182050.0,862924.0,4.73,4.75,4.73,4.75,0.04,20.0
1250,00634R,富邦上証反1,594000.0,2778460.0,4.68,4.71,4.66,4.67,0.0,42.0
19,00635U,期元大S&P黃金,1265173.0,36015129.0,28.41,28.56,28.39,28.46,0.51,528.0
1251,00635U,期元大S&P黃金,2478575.0,70628706.0,28.5,28.56,28.42,28.55,0.42,853.0
20,00636,國泰中國A50,532575.0,10663439.0,20.05,20.1,19.98,20.03,-0.07,200.0
1252,00636,國泰中國A50,2394295.0,48870808.0,20.36,20.5,20.28,20.48,0.11,633.0
21,00636K,國泰中國A50+U,200.0,1242.0,6.21,6.21,6.21,6.21,-0.02,2.0
1253,00636K,國泰中國A50+U,200.0,1250.0,6.25,6.25,6.25,6.25,-0.04,2.0
22,00637L,元大滬深300正2,36098974.0,469147234.0,13.02,13.15,12.93,12.94,-0.13,3796.0
1254,00637L,元大滬深300正2,72980786.0,979840879.0,13.4,13.56,13.25,13.55,0.08,7614.0
23,00638R,元大滬深300反1,1966020.0,19484919.0,9.93,9.96,9.87,9.95,0.06,71.0
1255,00638R,元大滬深300反1,381000.0,3746810.0,9.81,9.9,9.79,9.8,0.03,67.0
24,00639,富邦深100,439390.0,4566049.0,10.42,10.43,10.35,10.4,-0.05,145.0
1256,00639,富邦深100,880836.0,9296624.0,10.5,10.61,10.49,10.57,-0.02,270.0
25,00640L,富邦日本正2,783201.0,45854736.0,58.55,58.85,58.35,58.5,0.4,299.0
1257,00640L,富邦日本正2,2803295.0,157114618.0,56.8,56.8,55.5,56.1,-1.9,593.0
26,00641R,富邦日本反1,678400.0,4360531.0,6.42,6.44,6.41,6.42,-0.03,55.0
1258,00641R,富邦日本反1,2395913.0,15715776.0,6.51,6.59,6.51,6.56,0.12,314.0
27,00642U,期元大S&P石油,1141168.0,21735189.0,18.99,19.09,18.98,19.04,-0.11,440.0
1259,00642U,期元大S&P石油,3261164.0,62502959.0,19.14,19.2,19.12,19.17,0.21,952.0
28,00643,群益深証中小,603944.0,6895911.0,11.4,11.47,11.38,11.47,-0.02,118.0
1260,00643,群益深証中小,2461221.0,28181750.0,11.5,11.56,11.38,11.44,-0.12,244.0
29,00643K,群益深証中小+R,,,,,,,0.0,
1261,00643K,群益深証中小+R,,,,,,,0.0,
30,00645,富邦日本,1130707.0,43252836.0,38.23,38.34,38.16,38.21,0.16,474.0
1262,00645,富邦日本,2630340.0,98508601.0,37.64,37.66,37.28,37.45,-0.63,1119.0
31,00646,元大S&P500,2814676.0,146878190.0,52.05,52.25,52.0,52.2,0.6,1542.0
1263,00646,元大S&P500,4238028.0,216394675.0,51.1,51.15,50.9,51.15,-0.55,2222.0
32,00647L,元大S&P500正2,142673.0,11768125.0,82.4,82.55,82.3,82.45,1.25,112.0
1264,00647L,元大S&P500正2,693462.0,54189829.0,78.3,78.35,77.85,78.3,-2.45,401.0
33,00648R,元大S&P500反1,300258.0,1734659.0,5.77,5.78,5.77,5.78,-0.04,42.0
1265,00648R,元大S&P500反1,4533600.0,26993875.0,5.93,5.97,5.93,5.96,0.11,244.0
34,00650L,復華香港正2,36281079.0,326437926.0,9.15,9.16,8.88,8.93,-0.26,2515.0
1266,00650L,復華香港正2,42258788.0,357686677.0,8.58,8.58,8.37,8.43,-0.27,3246.0
35,00651R,復華香港反1,802599.0,7623927.0,9.4,9.53,9.4,9.52,0.17,87.0
1267,00651R,復華香港反1,1114890.0,10930701.0,9.67,9.83,9.67,9.78,0.15,94.0
36,00652,富邦印度,298415.0,11171459.0,37.4,37.54,37.3,37.51,0.18,228.0
1268,00652,富邦印度,808670.0,29450171.0,36.66,36.66,36.33,36.42,-0.41,669.0
37,00653L,富邦印度正2,340512.0,19981232.0,59.0,59.05,58.45,58.75,0.3,91.0
1269,00653L,富邦印度正2,332222.0,18682312.0,56.9,56.9,55.85,56.35,-1.45,232.0
38,00654R,富邦印度反1,213000.0,1442700.0,6.77,6.78,6.76,6.78,-0.01,9.0
1270,00654R,富邦印度反1,729417.0,5061703.0,6.88,6.98,6.88,6.93,0.07,91.0
39,00655L,國泰中國A50正2,3336102.0,74380177.0,22.31,22.55,22.17,22.21,-0.25,510.0
1271,00655L,國泰中國A50正2,4462106.0,102016623.0,22.96,23.17,22.64,23.12,0.02,793.0
40,00656R,國泰中國A50反1,246000.0,2193220.0,8.93,8.95,8.89,8.94,0.05,16.0
1272,00656R,國泰中國A50反1,347000.0,3055770.0,8.83,8.89,8.78,8.78,0.0,14.0
41,00657,國泰日經225,874977.0,40839635.0,46.63,46.79,46.56,46.65,0.06,138.0
1273,00657,國泰日經225,428405.0,19426508.0,45.69,45.69,45.15,45.38,-0.72,209.0
42,00657K,國泰日經225+U,200.0,2896.0,14.48,14.48,14.48,14.48,0.05,2.0
1274,00657K,國泰日經225+U,200.0,2776.0,13.88,13.88,13.88,13.88,-0.32,2.0
43,00660,元大歐洲50,7303.0,263423.0,36.11,36.11,35.98,35.98,-0.15,13.0
1275,00660,元大歐洲50,8018.0,284273.0,35.46,35.54,35.46,35.54,-0.26,72.0
44,00661,元大日經225,366859.0,18685989.0,50.9,51.1,50.75,50.9,0.15,254.0
1276,00661,元大日經225,819976.0,40581948.0,49.66,49.66,49.29,49.63,-0.67,629.0
45,00662,富邦NASDAQ,2428577.0,184307971.0,75.6,76.0,75.6,75.95,1.4,1140.0
1277,00662,富邦NASDAQ,4111004.0,303443651.0,73.85,73.95,73.6,73.95,-1.05,2368.0
46,00663L,國泰臺灣加權正2,1000.0,187700.0,187.7,187.7,187.7,187.7,1.55,1.0
1278,00663L,國泰臺灣加權正2,457221.0,80244535.0,178.9,178.9,170.55,172.8,-10.6,120.0
47,00664R,國泰臺灣加權反1,2990050.0,12956707.0,4.34,4.35,4.32,4.34,0.01,162.0
1279,00664R,國泰臺灣加權反1,26720153.0,119594050.0,4.43,4.54,4.43,4.51,0.12,1326.0
48,00665L,富邦恒生國企正2,63868229.0,374857366.0,5.96,5.97,5.81,5.85,-0.13,3554.0
1280,00665L,富邦恒生國企正2,71016960.0,396242826.0,5.63,5.66,5.52,5.58,-0.15,4385.0
49,00666R,富邦恒生國企反1,477000.0,7624200.0,15.91,16.04,15.9,16.04,0.27,38.0
1281,00666R,富邦恒生國企反1,270434.0,4451739.0,16.35,16.56,16.35,16.56,0.33,34.0
50,00668,國泰美國道瓊,45053.0,2027793.0,44.96,45.1,44.96,45.1,0.14,86.0
1282,00668,國泰美國道瓊,129284.0,5746900.0,44.4,44.55,44.4,44.55,-0.22,103.0
51,00668K,國泰美國道瓊+U,200.0,2790.0,13.95,13.95,13.95,13.95,0.01,2.0
1283,00668K,國泰美國道瓊+U,200.0,2732.0,13.66,13.66,13.66,13.66,-0.14,2.0
52,00669R,國泰美國道瓊反1,2789759.0,20143546.0,7.22,7.23,7.21,7.22,0.0,139.0
1284,00669R,國泰美國道瓊反1,9951211.0,73648374.0,7.38,7.42,7.38,7.4,0.1,573.0
53,00670L,富邦NASDAQ正2,907654.0,102534932.0,112.95,113.05,112.85,112.9,3.25,808.0
1285,00670L,富邦NASDAQ正2,2917777.0,307192213.0,105.7,105.7,104.5,105.4,-4.8,1953.0
54,00671R,富邦NASDAQ反1,5229220.0,21065702.0,4.03,4.04,4.02,4.04,-0.04,237.0
1286,00671R,富邦NASDAQ反1,19424281.0,81055210.0,4.16,4.19,4.16,4.18,0.09,824.0
55,00673R,期元大S&P原油反1,7547065.0,52794507.0,6.99,7.02,6.97,7.0,0.04,696.0
1287,00673R,期元大S&P原油反1,14634510.0,101772560.0,6.96,6.98,6.94,6.97,-0.05,1286.0
56,00674R,期元大S&P黃金反1,1459954.0,15174509.0,10.41,10.42,10.36,10.42,-0.17,330.0
1288,00674R,期元大S&P黃金反1,804497.0,8376728.0,10.43,10.43,10.39,10.41,-0.13,192.0
57,00675L,富邦臺灣加權正2,990878.0,81083224.0,81.65,82.3,81.45,81.95,0.05,803.0
1289,00675L,富邦臺灣加權正2,6180335.0,470534997.0,78.15,78.3,74.5,75.55,-4.5,6510.0
58,00676R,富邦臺灣加權反1,3138250.0,7542063.0,2.4,2.41,2.39,2.4,0.0,145.0
1290,00676R,富邦臺灣加權反1,16075485.0,40028912.0,2.46,2.52,2.45,2.5,0.07,833.0
59,00678,群益那斯達克生技,261533.0,7162179.0,27.33,27.41,27.32,27.41,0.19,97.0
1291,00678,群益那斯達克生技,411462.0,10997435.0,26.69,26.79,26.69,26.79,-0.24,122.0
60,00680L,元大美債20正2,65216535.0,533073889.0,8.19,8.2,8.15,8.17,-0.11,8939.0
1292,00680L,元大美債20正2,67569090.0,541881394.0,8.05,8.06,7.99,8.01,-0.17,8361.0
61,00681R,元大美債20反1,379673.0,7975804.0,21.01,21.04,20.98,21.01,0.11,92.0
1293,00681R,元大美債20反1,956364.0,20301920.0,21.24,21.3,21.2,21.25,0.23,128.0
62,00682U,期元大美元指數,6075.0,129052.0,21.23,21.27,21.23,21.26,0.04,6.0
1294,00682U,期元大美元指數,95010.0,2043475.0,21.49,21.51,21.49,21.5,0.1,21.0
63,00683L,期元大美元指正2,341114.0,7855540.0,23.01,23.1,23.01,23.1,0.13,92.0
1295,00683L,期元大美元指正2,340397.0,8010930.0,23.53,23.55,23.52,23.53,0.17,86.0
64,00684R,期元大美元指反1,1000.0,15360.0,15.36,15.36,15.36,15.36,-0.01,1.0
1296,00684R,期元大美元指反1,4010.0,60972.0,15.21,15.21,15.19,15.21,-0.04,5.0
65,00685L,群益臺灣加權正2,181765.0,13242959.0,72.55,73.2,72.4,72.9,0.05,59.0
1297,00685L,群益臺灣加權正2,1127339.0,76486726.0,69.5,69.6,66.3,67.25,-3.9,429.0
66,00686R,群益臺灣加權反1,385250.0,993915.0,2.58,2.59,2.57,2.58,0.0,17.0
1298,00686R,群益臺灣加權反1,3732200.0,9954193.0,2.64,2.7,2.64,2.69,0.08,161.0
67,00688L,國泰20年美債正2,35903841.0,292092515.0,8.14,8.16,8.11,8.13,-0.1,4108.0
1299,00688L,國泰20年美債正2,31221082.0,248779433.0,8.0,8.01,7.94,7.96,-0.17,4272.0
68,00689R,國泰20年美債反1,4000.0,87110.0,21.79,21.79,21.77,21.77,0.15,3.0
1300,00689R,國泰20年美債反1,449050.0,9887658.0,21.99,22.05,21.97,22.02,0.24,23.0
69,00690,兆豐藍籌30,488467.0,16006011.0,32.84,32.88,32.69,32.8,-0.04,191.0
1301,00690,兆豐藍籌30,1379617.0,43351367.0,31.98,31.98,31.15,31.34,-0.9,798.0
70,00692,富邦公司治理,2195972.0,85253646.0,38.88,38.96,38.71,38.82,-0.04,1229.0
1302,00692,富邦公司治理,10407381.0,389956530.0,38.07,38.15,37.2,37.29,-1.18,7046.0
71,00693U,期街口S&P黃豆,133162.0,3123673.0,23.46,23.49,23.41,23.47,-0.13,83.0
1303,00693U,期街口S&P黃豆,130200.0,3071921.0,23.55,23.64,23.52,23.58,-0.21,81.0
72,00700,富邦恒生國企,239384.0,2815572.0,11.88,11.88,11.7,11.78,-0.1,100.0
1304,00700,富邦恒生國企,376784.0,4327854.0,11.48,11.58,11.44,11.48,-0.1,130.0
73,00701,國泰股利精選30,742691.0,19658409.0,26.43,26.5,26.4,26.49,-0.1,366.0
1305,00701,國泰股利精選30,1686283.0,44056633.0,26.46,26.46,25.87,25.96,-0.61,898.0
74,00702,國泰標普低波高息,105093.0,2370468.0,22.52,22.56,22.5,22.56,-0.01,91.0
1306,00702,國泰標普低波高息,104715.0,2330827.0,22.23,22.26,22.23,22.26,-0.05,79.0
75,00703,台新MSCI中國,128927.0,1833900.0,14.37,14.37,14.21,14.21,-0.1,67.0
1307,00703,台新MSCI中國,17296.0,242143.0,14.0,14.1,13.96,13.99,-0.15,60.0
76,00706L,期元大S&P日圓正2,9902254.0,64732704.0,6.55,6.56,6.52,6.53,-0.03,1226.0
1308,00706L,期元大S&P日圓正2,21075340.0,135375055.0,6.43,6.44,6.41,6.42,-0.05,2124.0
77,00707R,期元大S&P日圓反1,,,,,,,0.0,
1309,00707R,期元大S&P日圓反1,,,,,,,0.0,
78,00708L,期元大S&P黃金正2,2148321.0,77198107.0,35.82,36.19,35.77,35.9,1.26,607.0
1310,00708L,期元大S&P黃金正2,2207023.0,79337503.0,35.94,36.09,35.76,36.06,1.04,596.0
79,00709,富邦歐洲,23056.0,662436.0,28.74,28.76,28.74,28.76,-0.07,77.0
1311,00709,富邦歐洲,37471.0,1057201.0,28.3,28.3,28.17,28.23,-0.35,115.0
80,00710B,復華彭博非投等債,213358.0,4092962.0,19.17,19.2,19.14,19.18,0.01,63.0
1312,00710B,復華彭博非投等債,594724.0,11439751.0,19.21,19.27,19.2,19.25,0.04,190.0
81,00711B,復華彭博新興債,123589.0,1984822.0,16.06,16.07,16.04,16.07,-0.08,81.0
1313,00711B,復華彭博新興債,231370.0,3697646.0,16.0,16.0,15.96,15.97,-0.1,118.0
82,00712,復華富時不動產,12530402.0,118374224.0,9.45,9.46,9.42,9.44,0.04,4449.0
1314,00712,復華富時不動產,37388035.0,347562675.0,9.3,9.31,9.28,9.3,-0.09,15900.0
83,00713,元大台灣高息低波,3477620.0,192184969.0,55.15,55.4,55.05,55.35,0.15,2911.0
1315,00713,元大台灣高息低波,12905847.0,699381747.0,54.85,54.85,53.85,54.05,-1.15,16135.0
84,00714,群益道瓊美國地產,258760.0,4993626.0,19.27,19.31,19.26,19.29,0.02,122.0
1316,00714,群益道瓊美國地產,356739.0,6739437.0,18.85,18.9,18.84,18.9,-0.24,184.0
85,00715L,期街口布蘭特正2,5721710.0,106649654.0,18.52,18.76,18.52,18.67,-0.06,1127.0
1317,00715L,期街口布蘭特正2,15777940.0,298816947.0,18.88,19.02,18.83,18.95,0.33,2291.0
86,00717,富邦美國特別股,366061.0,5798164.0,15.89,15.89,15.83,15.87,-0.07,154.0
1318,00717,富邦美國特別股,640369.0,10032629.0,15.68,15.71,15.65,15.67,-0.14,301.0
87,00728,第一金工業30,469912.0,14644763.0,31.18,31.23,31.1,31.11,-0.07,190.0
1319,00728,第一金工業30,800264.0,23650650.0,30.11,30.11,29.38,29.5,-0.97,445.0
88,00730,富邦臺灣優質高息,169528.0,3909233.0,23.02,23.13,23.0,23.1,0.14,156.0
1320,00730,富邦臺灣優質高息,549653.0,12291676.0,22.6,22.6,22.26,22.32,-0.53,437.0
89,00731,復華富時高息低波,519474.0,39111788.0,74.9,75.3,74.85,75.15,0.05,102.0
1321,00731,復華富時高息低波,766907.0,55649474.0,73.85,73.85,72.3,72.65,-1.75,351.0
90,00733,富邦臺灣中小,6106606.0,405961033.0,66.3,66.65,66.2,66.6,0.5,3187.0
1322,00733,富邦臺灣中小,11290027.0,734657461.0,66.0,66.0,63.8,64.9,-1.6,9439.0
91,00735,國泰臺韓科技,108729.0,3788037.0,34.83,34.94,34.81,34.81,-0.02,88.0
1323,00735,國泰臺韓科技,124137.0,4112363.0,33.39,33.39,33.09,33.19,-1.04,82.0
92,00736,國泰新興市場,100460.0,2192054.0,21.82,21.82,21.82,21.82,-0.04,6.0
1324,00736,國泰新興市場,131409.0,2807951.0,21.46,21.46,21.32,21.36,-0.23,80.0
93,00737,國泰AI+Robo,208546.0,6478088.0,30.98,31.16,30.98,31.13,0.2,88.0
1325,00737,國泰AI+Robo,247024.0,7406756.0,30.1,30.1,29.8,29.98,-0.73,149.0
94,00738U,期元大道瓊白銀,1644117.0,43856064.0,26.48,26.85,26.44,26.76,0.76,527.0
1326,00738U,期元大道瓊白銀,1887069.0,50532700.0,26.91,26.91,26.65,26.8,0.5,530.0
95,00739,元大MSCI A股,47183.0,976712.0,20.74,20.74,20.7,20.72,-0.02,71.0
1327,00739,元大MSCI A股,100946.0,2120027.0,21.03,21.08,20.87,21.03,0.0,113.0
96,00752,中信中國50,8983337.0,153445305.0,17.18,17.18,17.0,17.06,-0.14,759.0
1328,00752,中信中國50,11461365.0,190253660.0,16.64,16.73,16.53,16.61,-0.15,1348.0
97,00753L,中信中國50正2,18301184.0,128890888.0,7.08,7.14,7.0,7.03,-0.12,2026.0
1329,00753L,中信中國50正2,33230624.0,221881239.0,6.75,6.76,6.6,6.65,-0.2,3922.0
98,00757,統一FANG+,1294754.0,103169578.0,79.5,79.85,79.5,79.8,2.2,2408.0
1330,00757,統一FANG+,2592748.0,199534250.0,77.05,77.1,76.8,77.0,-2.3,4482.0
99,00762,元大全球AI,245427.0,14694595.0,59.6,60.0,59.6,60.0,0.95,629.0
1331,00762,元大全球AI,828452.0,47803630.0,58.15,58.15,57.6,57.8,-1.35,915.0
100,00763U,期街口道瓊銅,842690.0,22210361.0,26.33,26.43,26.29,26.37,-0.1,305.0
1332,00763U,期街口道瓊銅,1025297.0,27579242.0,27.0,27.0,26.83,26.97,0.43,256.0
101,00770,國泰北美科技,3229715.0,139395082.0,43.05,43.27,43.04,43.18,0.73,690.0
1333,00770,國泰北美科技,3175716.0,132482187.0,41.94,41.94,41.63,41.74,-0.86,1291.0
102,00771,元大US高息特別股,36351.0,628497.0,17.32,17.32,17.26,17.28,-0.11,109.0
1334,00771,元大US高息特別股,111849.0,1913498.0,17.14,17.15,17.07,17.13,-0.14,123.0
103,00775B,新光投等債15+,352000.0,11862430.0,33.7,33.72,33.7,33.71,-0.08,6.0
1335,00775B,新光投等債15+,33795.0,1127708.0,33.43,33.52,33.33,33.33,-0.47,127.0
104,00783,富邦中証500,120599.0,2179541.0,18.04,18.11,18.04,18.11,-0.06,66.0
1336,00783,富邦中証500,183013.0,3313759.0,18.27,18.27,18.02,18.15,-0.12,93.0
105,00830,國泰費城半導體,15331810.0,679842116.0,44.33,44.41,44.28,44.32,0.8,4127.0
1337,00830,國泰費城半導體,10023424.0,427596997.0,42.71,42.74,42.59,42.68,-0.52,3222.0
106,00850,元大臺灣ESG永續,990449.0,40445317.0,40.84,40.96,40.75,40.8,-0.09,880.0
1338,00850,元大臺灣ESG永續,3210906.0,126244818.0,39.89,39.9,38.95,39.22,-1.15,4311.0
107,00851,台新全球AI,27202.0,1164215.0,42.75,42.92,42.75,42.9,0.62,108.0
1339,00851,台新全球AI,38104.0,1586396.0,41.85,41.85,41.55,41.65,-0.67,98.0
108,00852L,國泰美國道瓊正2,455400.0,10730629.0,23.56,23.59,23.54,23.57,0.04,87.0
1340,00852L,國泰美國道瓊正2,1081054.0,24483006.0,22.69,22.7,22.57,22.68,-0.46,209.0
109,00861,元大全球未來通訊,625055.0,24910574.0,39.61,39.91,39.61,39.85,0.65,243.0
1341,00861,元大全球未來通訊,170986.0,6604796.0,38.57,38.7,38.54,38.6,-0.57,171.0
110,00865B,國泰US短期公債,248511.0,11175129.0,44.92,44.99,44.91,44.92,0.08,86.0
1342,00865B,國泰US短期公債,256700.0,11624697.0,45.18,45.34,45.18,45.32,0.26,100.0
111,00875,國泰網路資安,599962.0,19595881.0,32.64,32.7,32.63,32.66,0.26,110.0
1343,00875,國泰網路資安,58499.0,1845149.0,31.77,31.77,31.43,31.51,-0.69,134.0
112,00876,元大全球5G,3295721.0,128163447.0,38.71,38.96,38.7,38.81,0.3,375.0
1344,00876,元大全球5G,520934.0,19677383.0,38.0,38.0,37.63,37.76,-0.44,312.0
113,00878,國泰永續高股息,38668369.0,878997908.0,22.75,22.8,22.68,22.7,-0.07,21609.0
1345,00878,國泰永續高股息,160889589.0,3553184117.0,22.4,22.4,21.92,22.0,-0.51,105145.0
114,00881,國泰台灣5G+,13276508.0,289686100.0,21.83,21.9,21.73,21.79,0.0,2136.0
1346,00881,國泰台灣5G+,22483791.0,465004059.0,21.02,21.02,20.46,20.65,-0.64,8786.0
115,00882,中信中國高股息,18607313.0,193483211.0,10.45,10.47,10.33,10.33,-0.12,2964.0
1347,00882,中信中國高股息,16686070.0,171092820.0,10.31,10.33,10.2,10.24,-0.07,3783.0
116,00885,富邦越南,6069566.0,76278337.0,12.51,12.59,12.51,12.57,0.07,1303.0
1348,00885,富邦越南,34518094.0,413214433.0,12.01,12.1,11.86,11.9,-0.6,9703.0
117,00891,中信關鍵半導體,6418867.0,118166300.0,18.4,18.45,18.34,18.38,-0.01,2048.0
1349,00891,中信關鍵半導體,21093014.0,369175661.0,17.8,17.8,17.36,17.46,-0.54,9078.0
118,00892,富邦台灣半導體,5700319.0,90457513.0,15.79,15.9,15.78,15.85,0.06,934.0
1350,00892,富邦台灣半導體,11368120.0,173163141.0,15.4,15.4,15.16,15.18,-0.43,2108.0
119,00893,國泰智能電動車,6056691.0,123920357.0,20.44,20.49,20.43,20.43,0.18,818.0
1351,00893,國泰智能電動車,6509766.0,128147826.0,19.75,19.75,19.65,19.7,-0.37,2663.0
120,00894,中信小資高價30,832621.0,16101471.0,19.29,19.37,19.29,19.32,0.14,210.0
1352,00894,中信小資高價30,1235384.0,22703484.0,18.86,18.86,18.23,18.3,-0.59,591.0
121,00895,富邦未來車,1156096.0,28852298.0,24.94,25.0,24.91,24.95,0.37,767.0
1353,00895,富邦未來車,2091221.0,50189632.0,24.19,24.19,23.95,24.01,-0.58,1743.0
122,00896,中信綠能及電動車,1043919.0,18477881.0,17.59,17.76,17.58,17.71,0.1,379.0
1354,00896,中信綠能及電動車,3243801.0,55278844.0,17.26,17.26,16.86,16.96,-0.48,1179.0
123,00897,富邦基因免疫生技,256173.0,2029794.0,7.91,7.93,7.91,7.93,0.01,122.0
1355,00897,富邦基因免疫生技,1821625.0,14023577.0,7.75,7.75,7.68,7.7,-0.1,333.0
124,00898,國泰基因免疫革命,296153.0,2084517.0,7.05,7.06,7.03,7.04,-0.01,147.0
1356,00898,國泰基因免疫革命,675740.0,4582386.0,6.79,6.8,6.77,6.79,-0.14,366.0
125,00899,FT潔淨能源,527650.0,8916922.0,16.9,16.94,16.86,16.89,-0.06,114.0
1357,00899,FT潔淨能源,618912.0,10028204.0,16.3,16.32,16.06,16.19,-0.54,286.0
126,00900,富邦特選高股息30,8438211.0,134366401.0,15.88,15.96,15.87,15.93,0.05,1701.0
1358,00900,富邦特選高股息30,21809931.0,335300122.0,15.68,15.68,15.25,15.36,-0.43,6173.0
127,00901,永豐智能車供應鏈,539712.0,9953244.0,18.38,18.49,18.37,18.4,0.02,163.0
1359,00901,永豐智能車供應鏈,2204038.0,38677329.0,17.8,17.8,17.35,17.49,-0.57,428.0
128,00902,中信電池及儲能,2625465.0,26117461.0,9.97,9.99,9.9,9.91,-0.06,652.0
1360,00902,中信電池及儲能,5130247.0,49346605.0,9.72,9.73,9.58,9.61,-0.22,1434.0
129,00903,富邦元宇宙,4043447.0,54381276.0,13.41,13.47,13.4,13.45,0.21,552.0
1361,00903,富邦元宇宙,1002511.0,12981404.0,13.03,13.03,12.93,12.95,-0.26,367.0
130,00904,新光臺灣半導體30,2476796.0,42933901.0,17.29,17.39,17.27,17.28,-0.01,556.0
1362,00904,新光臺灣半導體30,4792876.0,79126268.0,16.73,16.73,16.37,16.45,-0.5,1160.0
131,00905,FT臺灣Smart,1440776.0,18557862.0,12.88,12.91,12.85,12.88,0.03,549.0
1363,00905,FT臺灣Smart,4893222.0,60500538.0,12.6,12.6,12.25,12.32,-0.4,1949.0
132,00907,永豐優息存股,1478442.0,22354120.0,15.08,15.18,15.06,15.16,0.01,458.0
1364,00907,永豐優息存股,6668180.0,99390372.0,15.07,15.07,14.78,14.83,-0.35,2102.0
133,00908,富邦入息REITs+,943183.0,11441105.0,12.15,12.16,12.11,12.12,-0.03,107.0
1365,00908,富邦入息REITs+,823600.0,9840972.0,11.95,11.96,11.9,11.93,-0.07,171.0
134,00909,國泰數位支付服務,4670775.0,131461499.0,28.18,28.2,28.06,28.2,0.4,1640.0
1366,00909,國泰數位支付服務,4895139.0,128494452.0,26.61,26.61,26.11,26.27,-0.98,3189.0
135,00910,第一金太空衛星,127311.0,2128688.0,16.72,16.74,16.72,16.74,0.14,14.0
1367,00910,第一金太空衛星,164753.0,2683329.0,16.35,16.35,16.27,16.28,-0.24,24.0
136,00911,兆豐洲際半導體,423576.0,11590044.0,27.57,27.57,27.33,27.37,0.48,227.0
1368,00911,兆豐洲際半導體,333967.0,8759282.0,26.29,26.33,26.17,26.33,-0.39,323.0
137,00912,中信臺灣智慧50,279386.0,4913874.0,17.62,17.63,17.54,17.58,-0.04,196.0
