,Code,Name,TradeVolume,TradeValue,OpeningPrice,HighestPrice,LowestPrice,ClosingPrice,Change,Transaction
1177,8487,愛爾達-創,13001.0,1048581.0,81.4,81.4,80.5,81.0,-0.7,13.0
2409,8487,愛爾達-創,31730.0,2481498.0,79.5,79.5,77.4,77.4,-2.5,41.0
1178,8488,吉源-KY,41000.0,682350.0,16.85,16.9,16.5,16.6,0.05,24.0
2410,8488,吉源-KY,21001.0,339717.0,16.4,16.45,16.15,16.15,-0.3,15.0
1179,8499,鼎炫-KY,62947.0,7341774.0,115.5,117.5,115.0,117.5,2.0,77.0
2411,8499,鼎炫-KY,24052.0,2762777.0,115.0,116.0,113.5,113.5,-2.5,451.0
1180,8926,台汽電,3549194.0,167940170.0,47.65,47.85,46.9,47.7,0.3,2726.0
2412,8926,台汽電,6014298.0,282792054.0,48.1,48.5,46.0,46.3,-1.4,5148.0
1181,8940,新天地,733650.0,21454466.0,29.35,29.85,28.6,28.95,-0.4,515.0
2413,8940,新天地,586559.0,16651782.0,29.3,29.3,27.25,28.8,0.0,533.0
1182,8996,高力,5127095.0,1831778561.0,356.0,366.0,348.5,360.0,4.0,4896.0
2414,8996,高力,3859279.0,1257576676.0,333.0,334.5,320.0,327.0,-10.5,5673.0
1183,9103,美德醫療-DR,1492483.0,10148152.0,6.86,6.87,6.73,6.79,-0.09,389.0
2415,9103,美德醫療-DR,837462.0,5463836.0,6.7,6.7,6.4,6.4,-0.27,395.0
1184,910322,康師傅-DR,54076.0,963951.0,17.85,18.0,17.75,17.85,-0.1,90.0
2416,910322,康師傅-DR,97864.0,1702631.0,17.7,17.7,17.3,17.4,-0.4,252.0
1185,9105,泰金寶-DR,6616016.0,24548885.0,3.71,3.73,3.69,3.72,0.01,972.0
2417,9105,泰金寶-DR,23461331.0,82881703.0,3.62,3.64,3.48,3.5,-0.15,3839.0
1186,910861,神州-DR,155681.0,1035207.0,6.63,6.75,6.56,6.74,0.22,79.0
2418,910861,神州-DR,212011.0,1374602.0,6.35,6.63,6.13,6.6,0.09,54.0
1187,9110,越南控-DR,92000.0,701680.0,7.61,7.68,7.58,7.68,0.0,62.0
2419,9110,越南控-DR,49000.0,371610.0,7.63,7.69,7.54,7.63,-0.05,38.0
1188,911608,明輝-DR,311000.0,1090630.0,3.55,3.69,3.42,3.49,-0.16,136.0
2420,911608,明輝-DR,430843.0,1554425.0,3.73,3.75,3.52,3.52,0.03,240.0
1189,911622,泰聚亨-DR,4000.0,20410.0,5.1,5.11,5.1,5.11,0.0,4.0
2421,911622,泰聚亨-DR,17000.0,85960.0,5.09,5.09,5.03,5.06,-0.03,9.0
1190,911868,同方友友-DR,614000.0,734900.0,1.2,1.22,1.19,1.2,-0.02,154.0
2422,911868,同方友友-DR,352000.0,429330.0,1.22,1.23,1.21,1.21,0.0,117.0
1191,912000,晨訊科-DR,3077379.0,9041089.0,3.0,3.07,2.85,2.87,0.0,849.0
2423,912000,晨訊科-DR,4767486.0,13760014.0,2.7,2.97,2.7,2.81,0.11,1086.0
1192,9136,巨騰-DR,375150.0,2425112.0,6.4,6.5,6.4,6.46,0.1,148.0
2424,9136,巨騰-DR,209005.0,1322610.0,6.44,6.44,6.28,6.37,-0.07,84.0
1193,9802,鈺齊-KY,441635.0,50041484.0,112.0,114.0,112.0,113.5,1.5,488.0
2425,9802,鈺齊-KY,1186314.0,127934366.0,111.0,111.0,106.5,106.5,-4.5,1390.0
1194,9902,台火,503541.0,7373537.0,14.45,15.1,14.45,14.55,-0.05,577.0
2426,9902,台火,1108186.0,15751645.0,14.5,14.6,14.0,14.1,-0.4,461.0
1195,9904,寶成,8684722.0,306993944.0,35.4,35.5,35.1,35.35,-0.2,4152.0
2427,9904,寶成,20957584.0,721050634.0,35.45,35.5,33.85,34.0,-2.2,12298.0
1196,9905,大華,178545.0,4266772.0,23.9,23.95,23.85,23.9,0.0,112.0
2428,9905,大華,1258340.0,30820683.0,23.85,23.85,23.65,23.75,-0.15,417.0
1197,9906,欣巴巴,125837.0,9462903.0,74.6,75.8,74.6,75.8,0.7,144.0
2429,9906,欣巴巴,703811.0,52940631.0,77.2,77.3,73.2,74.0,-3.4,877.0
1198,9907,統一實,1675791.0,24524307.0,14.55,14.75,14.5,14.7,0.1,823.0
2430,9907,統一實,2012070.0,28889172.0,14.5,14.5,14.3,14.35,-0.15,921.0
1199,9908,大台北,114911.0,3726844.0,32.4,32.5,32.4,32.45,0.05,88.0
